category,precision,recall,fbeta
occupation_Tech-support,0.9530685920577617,0.9328621908127208,0.9428571428571428
occupation_Missing,0.96,0.8795811518324608,0.9180327868852459
occupation_Protective-serv,0.96,0.909952606635071,0.9343065693430656
occupation_Armed-Forces,1.0,1.0,1.0
occupation_Priv-house-serv,1.0,1.0,1.0
relationship_Not-in-family,0.9750328515111695,0.866822429906542,0.9177489177489176
relationship_Husband,0.951858831591571,0.9388306860425819,0.9452998723947257
relationship_Wife,0.9484396200814111,0.938255033557047,0.9433198380566802
relationship_Own-child,1.0,0.7761194029850746,0.8739495798319328
relationship_Unmarried,0.9841269841269841,0.8532110091743119,0.9140049140049139
relationship_Other-relative,1.0,0.8648648648648649,0.927536231884058
race_White,0.9544336756834949,0.9270760151749332,0.9405559515324305
race_Black,0.9701897018970189,0.9250645994832042,0.9470899470899471
race_Asian-Pac-Islander,0.9553903345724907,0.9311594202898551,0.9431192660550459
race_Amer-Indian-Eskimo,0.9117647058823529,0.8611111111111112,0.8857142857142858
race_Other,1.0,0.92,0.9583333333333334
sex_Male,0.9543147208121827,0.9312518763134194,0.9426422548051355
sex_Female,0.960252935862692,0.9016115351993215,0.9300087489063866
native_country_United-States,0.954839637566518,0.9258122995398131,0.9401019541206457
native_country_Cuba,0.9230769230769231,0.96,0.9411764705882353
native_country_Jamaica,0.9090909090909091,1.0,0.9523809523809523
native_country_India,0.975,0.975,0.975
native_country_Missing,0.9645390070921985,0.9315068493150684,0.9477351916376308
native_country_Mexico,1.0,0.9393939393939394,0.96875
native_country_South,0.9333333333333333,0.875,0.9032258064516129
native_country_Puerto-Rico,0.9166666666666666,0.9166666666666666,0.9166666666666666
native_country_Honduras,1.0,1.0,1.0
native_country_England,0.9655172413793104,0.9333333333333333,0.9491525423728815
native_country_Canada,0.95,0.9743589743589743,0.9620253164556962
native_country_Germany,0.9534883720930233,0.9318181818181818,0.942528735632184
native_country_Iran,0.8823529411764706,0.8333333333333334,0.8571428571428571
native_country_Philippines,1.0,0.9180327868852459,0.9572649572649572
native_country_Italy,0.96,0.96,0.96
native_country_Poland,0.8,1.0,0.888888888888889
native_country_Columbia,1.0,1.0,1.0
native_country_Cambodia,1.0,0.8571428571428571,0.923076923076923
native_country_Thailand,1.0,1.0,1.0
native_country_Ecuador,1.0,0.75,0.8571428571428571
native_country_Laos,1.0,0.5,0.6666666666666666
native_country_Taiwan,0.95,0.95,0.9500000000000001
native_country_Haiti,1.0,1.0,1.0
native_country_Portugal,1.0,1.0,1.0
native_country_Dominican-Republic,1.0,1.0,1.0
native_country_El-Salvador,0.9,1.0,0.9473684210526316
native_country_France,1.0,1.0,1.0
native_country_Guatemala,1.0,1.0,1.0
native_country_China,0.95,0.95,0.9500000000000001
native_country_Japan,0.9583333333333334,0.9583333333333334,0.9583333333333334
native_country_Yugoslavia,1.0,1.0,1.0
native_country_Peru,1.0,0.5,0.6666666666666666
native_country_Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native_country_Scotland,1.0,1.0,1.0
native_country_Trinadad&Tobago,1.0,1.0,1.0
native_country_Greece,1.0,0.75,0.8571428571428571
native_country_Nicaragua,1.0,1.0,1.0
native_country_Vietnam,1.0,1.0,1.0
native_country_Hong,0.8571428571428571,1.0,0.923076923076923
native_country_Ireland,1.0,1.0,1.0
native_country_Hungary,1.0,0.6666666666666666,0.8
native_country_Holand-Netherlands,1.0,1.0,1.0
